,headline,is_sarcastic,website
0,Most Glaring Times Trump's Children Have Broken The Law,1,the Onion
1,Anna Faris Names Director She Says Touched Her Inappropriately On The Set,0,huffpost.com
2,Guy In Line For Port-A-Potty Won’t Stop Assuring Everyone He Pisses Quick,1,the Onion
3,Embattled GOP Candidate J.R. Majewski Also Exaggerated Academic Credential,0,huffpost.com
4,Rep. Lofgren Teases 'Pretty Surprising' Material In Upcoming Jan. 6 Public Hearing,0,huffpost.com
5,Steve Bannon Arraigned On Public Indecency Charges For Going Around Looking Like That,1,the Onion
6,Rep. Elissa Slotkin Says Democratic Party Needs ‘New Blood’,0,huffpost.com
7,Backwoods Dietitians Recommend Squirrel As Essential Part Of Good Eatin’,1,the Onion
8,Brittney Griner Sends A Message Of Gratitude To Supporters On Her 32nd Birthday,0,huffpost.com
9,"Tim Ryan, J.D. Vance Clash Over Racist 'Replacement Theory' In Final Debate",0,huffpost.com
10,Vermont Sen. Patrick Leahy Hospitalized After Feeling Unwell,0,huffpost.com
11,"Man Doesn’t See Color, Only Head Shape",1,the Onion
12,Illinois County Just Launched The Nation’s Largest Guaranteed Income Program,0,huffpost.com
13,New Ad Shows Stark Reality Of Texas’ Abortion Ban: Children Having Children,0,huffpost.com
14,U.S. Mulls Ukrainian-Type Parole For Venezuelan Migrants,0,huffpost.com
15,Golf Course Groundskeeper Leaves Triangle Of Longer Grass Above Hole,1,the Onion
16,Onlookers Scream As Pit Bull Clamp’s Down On Child’s Hoagie,1,the Onion
17,"Week In Review: October 9, 2022",1,the Onion
18,Prosecutors Drop All Charges Against ‘Serial’ Podcast Subject Adnan Syed,1,the Onion
19,Trump Excited After Finding Crumpled-Up Top Secret Document In Pants Pocket,1,the Onion
20,FDA Requires Cigarette Packs Have Image Of Cigarette Pack Which Itself Has Smaller Image Of Cigarette Pack To Make Smokers Question Where This All Ends,1,the Onion
21,Herschel Walker’s Son Just Backed Up Explosive Allegations Of Domestic Abuse,0,huffpost.com
22,Study: Married Americans Spend 40 Minutes Each Year Pointing Gun At Sleeping Spouse,1,the Onion
23,"1 Dead, 7 Injured After Vehicle Plows Into Crowd At Colorado Restaurant: Sheriff",0,huffpost.com
24,Facebook Employees Sigh As Mark Zuckerberg Tries For 10th Time To Break Board With Fist,1,the Onion
25,48 Charged For Stealing $250 Million In Pandemic Funds Meant To Feed Needy Children,1,the Onion
26,"Pro-Life Herschel Walker Paid For Abortion, Report Says",1,the Onion
27,Iran Prison Fire Death Toll Rises To 8 As Protests Continue,0,huffpost.com
28,"Jailed Activist, Rights Groups Win Nobel Peace Prize For Work In Belarus, Russia And Ukraine",0,huffpost.com
29,Swedish Parties Make Deal To Govern With Hard-Right Support,0,huffpost.com
30,Who Will Be The Democratic Nominee In 2024?,1,the Onion
31,Medicine Prize Kicks Off Week Of Nobel Prize Announcements,0,huffpost.com
32,The Royal Line Of Succession,1,the Onion
33,British Government In Shambles After Liz Truss Fires Minister Of Sausages,1,the Onion
34,NASA Worried Moon Won’t Remember Them,1,the Onion
35,Jon Stewart Nails Arkansas AG On State's Ban Of Gender-Affirming Care For Trans Youth,0,huffpost.com
36,"Suspect Jailed On Murder, Kidnapping Charges After California Family Found Dead",0,huffpost.com
37,Meghan Markle Reveals If She'll Ever Make A Return To Acting,0,huffpost.com
38,Biden To Release Oil Barrels From Reserve To Ease Gas Prices,0,huffpost.com
39,Nearly All Of Puerto Rico Without Power Due To Hurricane Fiona,1,the Onion
40,"Iranian Climber Faces Possible Arrest, Imprisonment For Competing Without Hijab",0,huffpost.com
41,LA Mayor Candidate Says He's 'Italian' When Described As White Man In Debate,0,huffpost.com
42,Premium DraftKings Feature Lets User Select Players To Have Legs Broken By Goons,1,the Onion
43,Noam Chomsky Finally Earns His GED,1,the Onion
44,Timeline Of The DOJ’s Investigation Into Mar-A-Lago,1,the Onion
45,Ex-Texas Cop Charged Over Shooting Teen Eating Hamburger,0,huffpost.com
46,Minnesota Police Honored A Man For Valor. He Later Spoke Up On Cops' Inaction.,0,huffpost.com
47,Republicans Explain Why They Voted Against The Electoral Reform Bill,1,the Onion
48,"Flynn, Gingrich Testimony Sought In Georgia Election Probe",0,huffpost.com
49,Former High School Basketball Star Lands AA Sponsorship,1,the Onion
50,Trump Tells Jews To 'Get Their Act Together' And Appreciate Him More,0,huffpost.com
51,Cop Has Weird Feeling He Forgot To Cover Something Up,1,the Onion
52,Oklahomans Will Vote On Recreational Marijuana Next Year,0,huffpost.com
53,2022 Nobel Prize Winners,1,the Onion
54,Towel-Clad Firefighters Race To Scene Straight From Shower,1,the Onion
55,House Jan. 6 Committee Subpoenas Trump In Final Public Hearing,0,huffpost.com
56,Attendees Solemnly Flip Chairs Around To Sit Backwards At Coolio’s Memorial,1,the Onion
57,Kyra Bolden Could Become The First Black Woman To Join Michigan’s Supreme Court,0,huffpost.com
58,Reanimated Corpse Of John Lennon Wishes He Could Go Out In Public Without Fans Pointing And Screaming,1,the Onion
59,New iPhones Calling 911 While On Roller Coasters,1,the Onion
60,Arizonans Explain Why They Are Voting For Kari Lake,1,the Onion
61,"McCarthy Made GOP Colleague Cry After She Talked About His Jan. 6 Call, Book Says",0,huffpost.com
62,Parkland Shooter Prosecutor Seeks Probe Of Juror Threat,0,huffpost.com
63,Controversial State Farm Ad Features Patrick Mahomes Insisting There No Way To Insure Against God’s Judgment,1,the Onion
64,Americans Explain Why They Are Not Voting In The Midterms,1,the Onion
65,Iceberg Reacts To Video Of The Sun,1,the Onion
66,Beto O’Rourke Is Open To Compromise To Protect Abortion Rights,0,huffpost.com
67,"Experts Say It Not Too Late To Change Careers At 50, Though They Sure As Fuck Wouldn’t",1,the Onion
68,Video Shows San Antonio Cop Shooting Teen Eating A McDonald's Burger In His Car,0,huffpost.com
69,Biden Calls On Any Spirits Of Dead Lawmakers Present To Make Themselves Known After Jackie Walorski Doesn’t Answer,1,the Onion
70,Key Updates From Week 2 Of The Oath Keepers' Seditious Conspiracy Trial,0,huffpost.com
71,Massachusetts Student Receives Violation For Wearing Hijab,1,the Onion
72,"Waves Of Suicide Drones Strike Ukraine's Capital, 4 Killed",0,huffpost.com
73,McDonald’s Testing New Self-Ordering Kiosk That Cries When Customers Yell At It,1,the Onion
74,Bodycam Video Shows Florida Deputy Choking Unarmed Trans Woman,0,huffpost.com
75,‘I’m Sorry ... Mr. Snowflake’: Trump Gets Stark Reality Check From Rep. Jamie Raskin,0,huffpost.com
76,Colorado GOP Senate Nominee Says Trump Shouldn't Run In 2024,0,huffpost.com
77,Ex-Bill Clinton Strategist Paul Begala Decries 'Pain-In-The-Ass White Liberals',0,huffpost.com
78,‘Fat Bear Week’ Hit By Voter Fraud Attempt,1,the Onion
79,Secret Service Was Warned About Armed Mob Before Jan. 6 Riot,0,huffpost.com
80,Man Charged In Wisconsin Parade Killings Removes Shirt Before Opening Statements,0,huffpost.com
81,Protesters Storm Ben Sasse's Q&A Forum With Students At University Of Florida,0,huffpost.com
82,"DeSantis Engaged In The ‘F**k Joe Biden’ Euphemism, But Is Now Eager For ‘Brandon’s’ Help",0,huffpost.com
83,American Tourist Smashes Two Sculptures At Vatican After Demanding To See Pope,1,the Onion
84,Christian Walker Faces GOP Blame For Herschel Walker's Troubles,0,huffpost.com
85,"Fake Heiress Anna Sorokin Granted Home Detention, Must Stay Off Social Media",0,huffpost.com
86,‘Holy Sh*t’: Trevor Noah Stunned Into Silence By ‘Intense’ New Campaign Ad,0,huffpost.com
87,Liberal Group: Democrats Should Go Beyond Abortion To Beat ‘MAGA Republicans’,0,huffpost.com
88,Radioactive Waste Found At Missouri Elementary School,0,huffpost.com
89,U.S. To Establish New Rules On Space Trash,1,the Onion
90,"For The First Time, Oklahoma’s Big 5 Native Nations Endorse In Governor’s Race",0,huffpost.com
91,Herschel Walker Insists The Prop He Produced Is A ‘Legit’ Police Badge,0,huffpost.com
92,Florida Dads Accused Of Shooting Each Other's Daughters In Road Rage Incident,0,huffpost.com
93,Flight Attendant Reminds Passengers Seat Belt Can Be Used As A Strangulation Device,1,the Onion
94,Worm Feels Conflicted About Feasting On Monarch Who Symbolized So Much Oppression,1,the Onion
95,Journalists Marvel At Maggie Haberman’s Ability To Get Man Who Never Shuts Up To Answer Questions,1,the Onion
96,Attentive Server Continuously Refills Patron’s Empty Mouth,1,the Onion
97,Federal Investigators Confident They Have Enough Evidence To Charge Hunter Biden: Reports,0,huffpost.com
98,Director Calls Quiet On Set In Order To Begin Verbal Harassment,1,the Onion
99,Alex Jones Ordered To Pay Nearly $1 Billion In Sandy Hook Defamation Trial,1,the Onion
100,"‘No Way To Prevent This,’ Says Only Nation Where This Regularly Happens",1,the Onion
101,Americans Explain Why Dark Money Should Be Allowed In Elections,1,the Onion
102,How Far Could The Iranian Protests Go?,0,huffpost.com
103,Man At Strip Club Buffet Pays Extra To Get Private Time In Backroom With Buffalo Wing,1,the Onion
104,"Florida Gov. Ron DeSantis Opens Up Early, Mail-In Voting In Hurricane Ian's Wake",0,huffpost.com
105,Indiana Supreme Court Temporarily Blocks State's Abortion Ban,0,huffpost.com
106,President On Hot Mic With Florida Official: ‘No One F**ks With A Biden’,0,huffpost.com
107,Meghan McCain Lashes Republicans For Championing Kanye West: 'Idiots',0,huffpost.com
108,"Walker Says He ‘Never’ Opposed Exceptions In Georgia’s Abortion Law, Even Though He Did",0,huffpost.com
109,Rep. Lauren Boebert Ripped By GOP Primary Rival In Withering Op-Ed,0,huffpost.com
110,Man Who Watched 30-Second Ad About Pistachios To Get Free Airport Wi-Fi Opts To Learn More,1,the Onion
111,Newly Upgraded Tesla AI Makes Fart Noise Any Time It Runs Over Child,1,the Onion
112,Queen Elizabeth II Dies,1,the Onion
113,17th-Century ‘Vampire’ Found Buried With Sickle Over Neck To Prevent Rise From Dead,1,the Onion
114,Far-Right Extremists Are Threatening Election Workers Ahead Of Midterms,0,huffpost.com
115,Ron Johnson Shows He’s Tough On Crime By Hanging Bread Thief In Town Square,1,the Onion
116,Chuck Schumer Condemns Saudi Arabia For OPEC+ Decision To Reduce Oil Production,0,huffpost.com
117,A Look At The Class Of 2026,1,the Onion
118,Biden: Nuclear 'Armageddon' Risk Highest Since '62 Crisis,0,huffpost.com
119,Twin Fact: Did You Know?,1,the Onion
120,"'We're With You,' Biden Tells Puerto Rico Ahead Of Visit Following Hurricane Fiona",0,huffpost.com
121,Biden Asked Governors To Pardon Low-Level Marijuana Offenders. Many Already Have.,0,huffpost.com
122,Jeb Bush Asks Trump What We'd All Like To Ask Him After Odd George H.W. Bush Claim,0,huffpost.com
123,"Week In Review: October 16, 2022",1,the Onion
124,Jan. 6 Witness Recalls What Made Her Quit Trump's White House,0,huffpost.com
125,2 Fat Bears Have Formed A Friendship Experts Say Is Groundbreaking,0,huffpost.com
126,Rockets Strike Mayor's Office In Ukraine's Occupied Donetsk,0,huffpost.com
127,Michael Cohen Says He'd Fear For His Safety If Trump Were Reelected,0,huffpost.com
128,Friend’s Facebook Status Hints At Fact That Being Wife A Prison From Which She Can Never Be Free,1,the Onion
129,Nebraska Man Shatters Record For Longest Trip In Pumpkin Boat,1,the Onion
130,Biden Administration Extends COVID Public Health Emergency,0,huffpost.com
131,"Biden Issues Blanket Pardons For Simple Marijuana Possessions, Calls For Legal Reforms",0,huffpost.com
132,Maggie Haberman Climbs Out From Trump’s Folds,1,the Onion
133,"Woman Held Captive For A Month, Repeatedly Raped, In Missouri Home: Police",0,huffpost.com
134,Gigantic L.A. Police Robot Rises From Ocean To Chase Homeless Child From Park,1,the Onion
135,Witness Who Said Trump Ordered Mar-A-Lago Files Moved Is ID'd As Former White House Aide,0,huffpost.com
136,Scientists Find Dolphins Only Other Mammals That Jet-Ski For Pleasure,1,the Onion
137,Suspect In Killings Of 22 Elderly Texans Goes On Trial Again,0,huffpost.com
138,College Wrestler Tried To Pull Grizzly Bear Off Teammate Amid Gruesome Attack,0,huffpost.com
139,"Hurricane Ian Lets DeSantis Run Time Off The Game Clock, Hurting Challenger Crist",0,huffpost.com
140,104-Year-Old Man Awarded WWII Medal Just To Be Nice,1,the Onion
141,Louisiana Congressional Hopeful Gives Birth In Campaign Ad To Address State's Abortion Ban,0,huffpost.com
142,Scientists Announce Earth’s Sewage No Longer Drinkable,1,the Onion
143,[NOTE: Do Not Run Until Fucking Queen Is Dead Or People Will Lose Their Shit] Queen Elizabeth Dead At 96,1,the Onion
144,Fauci Says He Should Have Exercised More Caution In Delivering COVID Advice,0,huffpost.com
145,Report: This Our Annual Headline About Hockey,1,the Onion
146,Manti Te’o Reveals He’s Still Friends With Lennay Kekua,1,the Onion
147,"Sacheen Littlefeather, Native American Activist Who Turned Down 1973 Oscar, Dies",0,huffpost.com
148,"Connecticut Cops May Have Been Lured To 'Deliberate,' Deadly Ambush: Police",0,huffpost.com
149,‘Madden’ Glitch Lets Player Win Super Bowl With Texans,1,the Onion
150,"Tom Brady Fails To Read Room, Compares NFL Season To Military Deployment",0,huffpost.com
151,Wedding Couple Grateful To Be Surrounded By Loved Ones Quietly Criticizing Everything About Event,1,the Onion
152,Flint Water Crisis Charges Dropped For 7 Former Officials,0,huffpost.com
153,Don Lemon Says Goodbye To Prime-Time CNN Program In Final Signoff,0,huffpost.com
154,Republicans Say John Fetterman's A Racist Vigilante — And Also A Crime-Loving Radical,0,huffpost.com
155,Lindsey Graham Proposes Nationwide 15-Week Abortion Ban,1,the Onion
156,"Why Senate Democrats Might Survive The GOP’s Super PAC Blitz, And House Democrats Might Not",0,huffpost.com
157,What The Jan. 6 Committee Has Accomplished So Far,0,huffpost.com
158,NFL Doctors Test Tua Tagovailoa’s Mental Acuity By Seeing If He Can Sign Indemnification Agreement,1,the Onion
159,Man Convicted Of Killing Missing California Student Kristin Smart,0,huffpost.com
160,Obamas Celebrate 30th Wedding Anniversary With Endearing Tributes,0,huffpost.com
161,Most Famous Celebrity Sexts Of All Time,1,the Onion
162,Herschel Walker Gets Line Of Lecterns To Block For Him During Debate,1,the Onion
163,Former Oath Keeper Felt He Needed To Be Willing To ‘Conquer Or Die’ On Jan. 6,0,huffpost.com
164,Experts Warn Pornography Has Shaped Generation Of Young Men’s Views On Filmmaking,1,the Onion
165,Uvalde District Fires Officer Who Is Under Investigation For Shooting Response,0,huffpost.com
166,"Herschel Walker Denies Paying For Abortion, But Says 'Nothing To Be Ashamed Of' If He Had",0,huffpost.com
167,Joe Biden Calls On Los Angeles Officials Involved In Racist Remarks To Resign,0,huffpost.com
168,Study Finds Falling To Knees And Screaming To Sky Remains Best Way Of Forsaking One’s God,1,the Onion
169,Party One Of Those Awkward Ones Where Man Knows Everyone There,1,the Onion
170,Study: House Appraisals 40% Lower When Haunted By Black Ghosts,1,the Onion
171,Supreme Court Rejects Appeal From Church Shooter Dylann Roof,0,huffpost.com
172,Raytheon Unveils Missile Capable Of Targeting And Scuffing Up Jordans,1,the Onion
173,"Ezra Miller Pleads Not Guilty To Liquor Theft, Faces Up To 26 Years If Convicted",0,huffpost.com
174,'Darkest Of Days': Explosion At Village Gas Station In Ireland Kills 10,0,huffpost.com
175,"Joe Biden Condemns Raleigh Shooting, Calls for Gun Control",0,huffpost.com
176,Nigeria Races To Assist Flood Victims; Death Toll Tops 600,0,huffpost.com
177,"Roger Stone Calls Video Of Him 'Fake,' But Says He Really Doesn't Like Ivanka Trump",0,huffpost.com
178,Trump Reacts To Jan. 6 Hearing With 14-Page Letter Pushing Same Old Claims,0,huffpost.com
179,Herschel Walker Flashes Fake Police Badge In Georgia Debate Against Raphael Warnock,0,huffpost.com
180,Sign Warns Visitors Not To Enter Gorilla Habitat Unless They Also Gorilla,1,the Onion
181,Russia Leaves More Of Ukraine Without Power In New Strikes,0,huffpost.com
182,Russian Losses Evident In Key Liberated Ukrainian City,0,huffpost.com
183,New Corkscrew Whirlycoaster IUD Gets Sperm Cell Too Dizzy To Find Uterus,1,the Onion
184,HR Reminds Employees In Office Relationship They Should Give HR Some Sugar Too,1,the Onion
185,Difficult-To-Follow Recipe Calls For Dish To Be Enjoyed With Friends,1,the Onion
186,The Pros And Cons Of Fast Fashion,1,the Onion
187,Onion Treehouse Kids…Where Are They Now?,1,the Onion
188,Fiancé Having Second Thoughts About Spending Rest Of Life Cheating On Same Person,1,the Onion
189,Biggest Harry Styles Controversies Explained,1,the Onion
190,The Cast Of ‘Abbott Elementary’: Where Are They Now? What Do You Mean They’re On Set Shooting The Show? Right Now? Wait…What Year Is It? Oh My God...,1,the Onion
191,Elton John Awarded Medal By Joe Biden For Work To End AIDS,1,the Onion
192,Joe Biden Sticking With Controversial Adviser Who Urged Warmer Ties With Saudi Arabia,0,huffpost.com
193,Newly Discovered Documents Suggest Founding Fathers Intended America To Be First In Trilogy Of Countries,1,the Onion
194,Trump Employee Reportedly Gave FBI Key Evidence In Mar-A-Lago Probe,0,huffpost.com
195,The Onion Guide To BeReal,1,the Onion
196,Herschel Walker Claimed He Supervised 6 Hospitals. He Didn’t.,0,huffpost.com
197,Very Important Man One Of The Main Guys Where He Works,1,the Onion
198,Flight Attendant Reminds Passengers To Secure Own Michael Myers Mask Before Helping Child,1,the Onion
199,Flamethrower Set To Mist,1,the Onion
200,"In New Audio, Trump Reveals How He Really Feels About Dictators",0,huffpost.com
201,They Can’t Even,1,the Onion
202,Putin Calls Bomb Attack On Crimean Bridge 'A Terrorist Act' By Ukraine,0,huffpost.com
203,Analyst Acquitted At Trial Over Discredited Trump Dossier,0,huffpost.com
204,How Did You Know He Was Cheating?,1,the Onion
205,Ken Starr’s Family Finds Note Ordering Them To Frame Monica Lewinsky For His Death,1,the Onion
206,USDA Approves Genetically Modified Purple Tomato,1,the Onion
207,Apple Announces New iPhones Will No Longer Be Compatible With Human Hand,1,the Onion
208,What's Putin Thinking? Tough To Know For Nuclear Analysts,0,huffpost.com
209,David Petraeus Says Vladimir Putin Is 'Out Of Moves' In War As Ukraine Gains Continue,0,huffpost.com
210,Iconic Easter Island Heads Suffer 'Irreparable' Damage After Massive Wildfire,0,huffpost.com
211,"North Korea Launches Missile, Flies Warplanes Near South Korea Border",0,huffpost.com
212,Americans Explain Why They Refuse To Return To The Office,1,the Onion
213,New Video: Roger Stone Says Trump Will Get His 'Brains Beat In' If He Runs Again,0,huffpost.com
214,CPR Instructor Recommends Giving Gentle Forehead Kisses Between Chest Compressions So That Victim Feels Safe,1,the Onion
215,6-Year-Old Didn’t Cause Parents’ Divorce But Didn’t Exactly Step Up To Prevent It Either,1,the Onion
216,Ex-Angels Employee Gets 22 Years In Tyler Skaggs' Overdose Death,0,huffpost.com
217,"Ted Cruz Falls For Fake News, Then Blames The Real Media For Calling Him Out",0,huffpost.com
218,Teachers Reveal Why They Are Quitting Their Jobs,1,the Onion
219,"Cause Of Death Determined For Kiely Rodni, The Missing California Teen Found In Reservoir",0,huffpost.com
220,Arizona Fake Elector Kelli Ward Took The Fifth In Jan. 6 Committee Deposition,0,huffpost.com
221,Iowa Reporter Comes Out As Transgender On Air,0,huffpost.com
222,Texans React To School Book Bans,1,the Onion
223,Alex Jones Hit With $965 Million Verdict In 2nd Trial Over Sandy Hook Lies,0,huffpost.com
224,Food Banks Begin Accepting Donations From Homosexuals,1,the Onion
225,Supreme Court Denies Oklahoma Death Row Inmate's Appeal,0,huffpost.com
226,The Wealthy Enjoy A Massive Loophole In New York’s Tax Code — And Are Fighting To Keep It,0,huffpost.com
227,Democratic House Leaders Dance Around The Succession Issue,0,huffpost.com
228,God Still Waiting For Humans To Discover Easter Egg Feature Hidden In Cows,1,the Onion
229,"Jordan Peterson Disgusted By Society Celebrating 2,560-Pound Minnesota Pumpkin",1,the Onion
230,Tom Brady Urges Rob Gronkowski To Join Him For Last Year Of Marriage,1,the Onion
231,Debate Audience Laughs When Sen. Ron Johnson Insists He Was 'Set Up' By The FBI,0,huffpost.com
232,"Bolsonaro, Lula Neck-And-Neck In Polarized Brazil Election",0,huffpost.com
233,Transportation Department Unveils ‘Good Luck’ Signals For Pedestrians Trying To Cross Intersections,1,the Onion
234,Tigers Center Fielder Crashes Into Outfield Wall Just To Feel Something,1,the Onion
235,Biden Promises To Codify Roe v. Wade If Democrats Hold Congress,0,huffpost.com
236,Study Finds Majority Of Suicides Preventable By Watching Video On How Chain-Link Fences Are Made,1,the Onion
237,Justice Ketanji Brown Jackson Speaks More Than Any Other Justice On Week 1,0,huffpost.com
238,Biggest Revelations From New York’s Lawsuit Against Donald Trump,1,the Onion
239,LAPD Pauses Misconduct Investigations Department-Wide Out Of Respect For Deceased Officer,1,the Onion
240,Jan. 6 Committee Wants To Hear Again From Ex-Secret Service Members Ornato And Engel,0,huffpost.com
241,Justice Dept. Seeks End To Special Master Review Of Trump Docs,0,huffpost.com
242,Eric Andre Sues Over Drug Search Program At Atlanta Airport,0,huffpost.com
243,A Flops Tables,1,the Onion
244,Biden Unveils Student Loan Forgiveness Plan Requiring Taxpayers To Be Dragged Into Street And Killed Like Dogs,1,the Onion
245,‘Blonde’ Director Claims Film’s Graphic Sexual Violence Accurate Depiction Of Medieval Time Period,1,the Onion
246,Kanye West Seeks Reconciliation With Jewish Cabal To Collab On ‘Yeezy X Jews’ Streetwear,1,the Onion
247,"White House Security Official: Jan. 6 Was No Rally, Trump Attempted A Coup",0,huffpost.com
248,District Attorney To Review All Cases Handled By Cop Who Planned Charlottesville Nazi Rally,0,huffpost.com
249,Brazil Barrels Into Presidential Runoff As The Far-Right Flexes Its Staying Power,0,huffpost.com
250,NASA Announces Mars Rover Ran Into Jason Schwartzman But Didn’t Take Any Pictures Because It Didn’t Want To Be Weird,1,the Onion
251,Coffee Table Coasters Used Exclusively To Cover Up Existing Water Rings,1,the Onion
252,Missouri School District Reinstates Paddling To Punish Students,1,the Onion
253,Lawyer Informs Royal Family That Queen Has Left Throne To Overall-Wearing Alabama Resident,1,the Onion
254,"'Pro-Life' Herschel Walker Paid For Ex-Girlfriend's Abortion, Report Claims",0,huffpost.com
255,Majority Of Police Officer’s House Calls To Fellow Officers’ Houses,1,the Onion
256,Supreme Court Declines To Hear Mike Lindell's Defamation Appeal,0,huffpost.com
257,UK Leader In Peril After Treasury Chief Axes 'Trussonomics',0,huffpost.com
