,headline,is_sarcastic,website
773,Man In Custody After Alleged Kidnapping Of California Family Of 4,0,huffpost.com
774,Vladimir Putin Grants Edward Snowden Russian Citizenship,1,the Onion
775,Kyrie Irving Alleges Kyrie Irving Just CIA Creation Made To Spread Misinformation To American People,1,the Onion
776,U.N. Mysteriously Disappears After Criticizing Russia,1,the Onion
777,Former NFL Player Antonio Dennard Fatally Shot Outside Pennsylvania Bar,0,huffpost.com
778,Bipartisan Group Of Senators Reportedly Wants Congress To End Iraq War Authorization,0,huffpost.com
779,"Biden Outlines 'Different' Challenges Posed By Russia, China To U.S. National Security",0,huffpost.com
780,Guilty! Boston Law School Accidentally Sends Acceptance Emails To Current Applicants,0,huffpost.com
781,Jordan Klepper Has Baffling Chat With Michigan Trump Supporters,0,huffpost.com
782,Georgia Election Probe Enters New Phase With Search Warrants,0,huffpost.com
783,"Trump, Musk And Ye Get New Nickname After Jim Jordan's Judiciary Tweet Backfires",0,huffpost.com
784,Chet Holmgren Assures Fans He’ll Be Back And Perfectly Healthy For 9 Games Next Year,1,the Onion
785,Elon Musk Denies Speaking To Vladimir Putin About Russia's War In Ukraine,0,huffpost.com
786,Donald Trump Deposed In Defamation Suit,0,huffpost.com
787,OnlyFans Content Creator Imprisoned In Singapore Following Unprecedented Conviction,0,huffpost.com
788,"Russia Strikes Kyiv, Multiple Ukrainian Cities; Many Dead",0,huffpost.com
789,Conservative PACs Inject Millions Into Often-Ignored School Board Races,0,huffpost.com
790,"Everyone On Cruise Line Fantasizing About Throwing Off Loved One, Watching Body Sink Into Deep",1,the Onion
791,Twitter To Promote Healthier Discussion By Letting One User Tweet At A Time,1,the Onion
792,Sandy Hook Attorney: Families Will 'Make Alex Jones Pay Every Last Dollar',0,huffpost.com
793,Class Split Up Into Groups By Genitals,1,the Onion
794,"iPhone Alerts Responders After Car Hits Tree, Killing All 6 Passengers",0,huffpost.com
795,The Shocking Numbers Behind Gen Z Online Use,1,the Onion
796,Biden Promises Puerto Rico Hurricane Relief Where Trump Fell Short,0,huffpost.com
797,Police Chief Yells At Herschel Walker For Blowing Cover In Undercover-Senate-Run Operation,1,the Onion
798,Tua Tagovailoa Speaks Out After Head Injury In Dolphins-Bengals Game,0,huffpost.com
799,"CDC, WHO, Uganda To Host Regional Meeting As Ebola Spreads",0,huffpost.com
800,Kinzinger Says ‘The Torch Has Been Passed’ From Jan. 6 Committee To DOJ,0,huffpost.com
801,Rep. Liz Cheney Says Arizona GOP Candidates Threaten Democracy,0,huffpost.com
802,"John Fetterman Is 'Recovering Well' From Stroke, His Doctor Says",0,huffpost.com
803,Californians Explain Why They Oppose Drought Restrictions,1,the Onion
804,Every Question For Tesla Job Candidate About Raising Baby With Elon Musk,1,the Onion
805,Kari Lake Refuses To Say If She Would Accept Election Loss,0,huffpost.com
806,Weird Bug Being Eaten By Even Weirder Bug,1,the Onion
807,Queen’s Casket Visited By Thousands Of Ex-Lovers She Took After Her Husband’s Passing,1,the Onion
808,Republicans Explain Why They Oppose Ranked-Choice Voting,1,the Onion
809,GOP Congressional Candidate Says U.S. Suffered From Women’s Suffrage,1,the Onion
810,Italy Elects Most Far-Right Prime Minister Since Mussolini,1,the Onion
811,Here Is The House GOP’s Hit List If Republicans Retake Congress,0,huffpost.com
812,England Exits Somber Mourning Period To Resume Joyless Normalcy,1,the Onion
813,U.S. Escalates Campaign Against Spotted Lanternflies By Arming Praying Mantises,1,the Onion
814,Mormon Argues His Faith Has Just As Much Legitimate Sexual Abuse As Any Other Religion,1,the Onion
815,Book Burning Quickly Turns Into Whatever-Else-Melts-Cool Burning,1,the Onion
816,Janet Yellen Rolls Up Sleeves To Take Another Crack At Interrogating Milk Jug Over Rising Food Prices,1,the Onion
817,Americans Defend The Police’s Use Of Excessive Force,1,the Onion
818,The Most Fit Celebrities Reveal Their Workout Regimens,1,the Onion
819,Jan. 6 Committee Gears For Last Public Hearing Before Elections,0,huffpost.com
820,These State Judicial Races Will Determine The Future Of Abortion Rights,0,huffpost.com
821,Otherwise Mighty Lightning Powerless To Overcome Allure Of Tall Rod,1,the Onion
822,Florida Republicans Vote Against Hurricane Relief,1,the Onion
823,UK Scraps Tax Cut For Wealthy That Sparked Market Turmoil,0,huffpost.com
824,Supreme Court Rejects Bump Stock Ban Cases,0,huffpost.com
825,"Herschel Walker Skips Georgia Debate, Calls It A 'Sham' Hosted By Warnock's Friends",0,huffpost.com
826,Raging Wildfire Disgusted By Kitchen Stove Flame’s Subservience To Humans,1,the Onion
827,Employers Scale Back Job Openings As Federal Reserve Attacks Inflation,0,huffpost.com
828,Deadly Bacteria Cases Hit 12-Year High In Florida Following Hurricane Ian,0,huffpost.com
829,Justice Department Thinks Trump In Possession Of More Government Documents: Reports,0,huffpost.com
830,School Budget Committee Votes To Eliminate 4th-Graders Entirely,1,the Onion
831,Dozens Dead In Hurricane Ian's Wake As Rescues Continue,0,huffpost.com
832,Sssurprise! Snake Hitches A Ride On Flight To New Jersey,0,huffpost.com
833,British People Explain Why They Support The Monarchy,1,the Onion
834,Lindsey Graham Told Cops They Should Have Shot Jan. 6 Rioters In The Head: Book,0,huffpost.com
835,Scientists Say A Marijuana Breathalyzer Is In The Works,1,the Onion
836,Colleagues Give Dr. Fauci Rubella As Retirement Gift,1,the Onion
837,Federal Judge Halts Key Parts Of New York's New Gun Law,0,huffpost.com
838,Sean Hannity Plays Voicemail From His Dad Calling Him A Piece Of Shit To Demonstrate Healthy Father–Son Relationship,1,the Onion
839,"Iran's Supreme Leader Breaks Silence On Protests, Blames U.S.",0,huffpost.com
840,Cop Clearly Only Pulled Over Driver To Reach Monthly Kill Quota,1,the Onion
841,Supreme Court Declines To Take Up Issue Of 'Fetal Personhood' For Now,0,huffpost.com
842,Kamala Harris' Motorcade Involved In Accident On Way To White House,0,huffpost.com
843,"Danish Queen Apologizes For Stripping Grandchildren Of Titles, But Decision Remains",0,huffpost.com
844,"OPEC+ Approves Large Oil Cutback That Could Scramble Midterms, Boost Russia",0,huffpost.com
845,Here's What Will Happen To The Paddington Bears Left For Queen Elizabeth,0,huffpost.com
846,Struggling U.S. Military Requires Every Soldier To Recruit Additional 300 New Troops,1,the Onion
847,Sanitation Worker Digs Around Truck For Source Of Weird Smell,1,the Onion
848,What To Know About The Spotted Lanternfly Invasion,1,the Onion
849,Scientists Capture Audio Of Beetle Colliding With Paper Clip For First Time,1,the Onion
850,"Nikki Finke, Renowned Blunt Hollywood Columnist, Dies At 68",0,huffpost.com
851,Herschel Walker Says People Worried About High Insulin Costs Should Just 'Eat Right',0,huffpost.com
852,Pete Buttigieg Has Perfect Response To Marjorie Taylor Greene's Unhinged Complaint,0,huffpost.com
853,Stargazing Woman Reminded Of How Small Own Tits Are In Grand Scheme Of Things,1,the Onion
854,Prosecutors Drop Charges Against Adnan Syed After New DNA Testing,0,huffpost.com
855,Pros And Cons Of Parental Controls On Apps,1,the Onion
856,India's Religious Polarization Is Seeping Into The US Diaspora,0,huffpost.com
857,School District Waives Sex-Ed Curriculum For Students Who Look Like They Know What’s Up,1,the Onion
858,Kevin McCarthy Warns Of Ukraine Aid Cuts If GOP Wins,0,huffpost.com
859,Brits Take Turns Mourning Atop Queen’s Bucking Casket,1,the Onion
860,"Massive Truck Bomb Blast Hits Crimea Bridge, Key Supply Route In Russia's War",0,huffpost.com
861,How Do Americans Describe Their Political Beliefs?,1,the Onion
862,Gut Reaction,1,the Onion
863,Lizzo Plays 200-Year-Old Crystal Flute Belonging To James Madison At D.C. Show,1,the Onion
864,Oregon's GOP Candidate For Governor Is Tying Herself To Violent Extremists,0,huffpost.com
865,Miss England Pageant Finalist Becomes First To Compete Without Makeup,1,the Onion
866,Evil Thoughts Every Parent Has Had At Some Point,1,the Onion
867,Daily Affirmation: Men's Eyes,1,the Onion
868,Film Star Anna May Wong Will Be First Asian American To Appear On U.S. Currency,0,huffpost.com
869,What Should We Do About The Supreme Court?,1,the Onion
870,Wealthy Florida Residents Without Power Forced To Use Emergency Hand-Crank Margarita Machines,1,the Onion
871,66 Clinics Across 15 States Have Stopped Offering Abortion Since Roe Fell,0,huffpost.com
872,Former Rep. Max Rose Ties GOP Opponent To Deaths Of Pregnant Women,0,huffpost.com
873,There Are Too Many Snakes In This Montana Campaign,0,huffpost.com
874,Republican Group Names And Shames GOP’s ‘Big Lie’ Candidates In Unsparing Video,0,huffpost.com
875,John Fetterman Trolls Mehmet Oz With Comparison To Incompetent 'Simpsons' Doctor,0,huffpost.com
876,Referees Call For Replay To Admire Great Call,1,the Onion
877,Oath Keepers Sought 'Legal Cover' To Bring Guns To Capitol On Jan. 6,0,huffpost.com
878,Zelenskyy Calls Out Elon Musk Over Suggestions For Ending Putin's War In Ukraine,0,huffpost.com
879,"House Report Exposes Trump's Efforts To Politicize The CDC, COVID-19 Guidance",0,huffpost.com
880,DOJ Seeks 6 Month Prison Sentence For Steve Bannon,0,huffpost.com
881,Putin Declares Martial Law In Annexed Regions Of Ukraine,0,huffpost.com
882,Far-Right Republican Wondering What He Has To Do To Get Media To Stop Calling Him Moderate,1,the Onion
883,Brother Of Suspect In California Family's Killing Arrested,0,huffpost.com
884,New MLB.Com Discount Tier Lets Users Look At Clipart Of Baseball,1,the Onion
885,Georgia's GOP Lt. Governor Blasts Trump For Foisting Herschel Walker On Voters,0,huffpost.com
886,Ex-Cop Michael Fanone Reveals What He Yelled As Capitol Rioters Beat Him,0,huffpost.com
887,Sidney Powell Nonprofit Raised $16 Million Spreading Election Lies: Report,0,huffpost.com
888,Brett Favre Makes Amends By Sending Photo Of His Penis To Every Mississippian On Welfare,1,the Onion
889,Jan. 6 Rioter Arrested For Assaulting Cop Was Paid To Campaign For Glenn Youngkin,0,huffpost.com
890,The Doctor Is In — And Wants You To Vote: How Physicians Are Saving Democrats After Roe,0,huffpost.com
891,Palace Staff Decides Not To Pack Up Funeral Stuff Just Yet After Seeing King Charles Up Close,1,the Onion
892,Velma Confirmed As Lesbian In New ‘Scooby-Doo’ Film After Years Of Ambiguity,1,the Onion
893,Report Confirms Anyone Who Really Likes A Politician Is Insane,1,the Onion
894,Claw Machine Dragging Across Toy’s Back Like That Probably Feels Pretty Good,1,the Onion
895,NASA Delays Artemis Launch After Rocket Gets Scared,1,the Onion
896,Dr. Fauci To Step Down: A Career Retrospective,1,the Onion
897,Washington State Wildfire Forces Thousands To Evacuate,0,huffpost.com
898,Ukraine’s Nuclear Chief Says Winter Cold Raises The Risk Of Disaster At Zaporizhzhia,0,huffpost.com
899,"Long Covid Keeping 2 To 4 million Americans Out Of Workforce, Report Says",1,the Onion
900,FEMA Requires Flood Victims To Pass Drug Test Before Qualifying For Rescue,1,the Onion
901,Fauci Explains How He Avoided Trump's 'Most Surreal' COVID Moment,0,huffpost.com
902,"1,000-Year-Old German Choir Admits Girls For First Time",1,the Onion
903,So-Called ‘Self-Made’ Billionaires Who Actually Grew Up Wealthy,1,the Onion
904,Mississippi Governor Sends Emergency Workers To Contain Jackson Flood To Black Areas,1,the Onion
905,iPhone 14 Camera To Include Director For Highest-Quality Video Yet,1,the Onion
906,New Humane Bug Spray Makes Insects Cum So Hard They Die,1,the Onion
907,Manifesto Sounds Stupid Out Loud,1,the Onion
908,Trump Must Sit For Deposition In Defamation Lawsuit,0,huffpost.com
909,Watch Kate Middleton Get In Awkward Exchange With Woman In Northern Ireland,0,huffpost.com
910,Tim Ryan Calls J.D. Vance A Trump 'Ass Kisser' In First Ohio Senate Debate,0,huffpost.com
911,Trump’s New Claim About Washington And Lincoln Sets Twitter Ablaze,0,huffpost.com
912,MSNBC’s Mehdi Hasan Has Stark Warning Over Trump’s Latest Antisemitic Rant,0,huffpost.com
913,Florida Free-Fall Ride To Be Torn Down After Teen's Fatal Fall,0,huffpost.com
914,Roger Federer Hopes Career Inspired Little White Boys To See Themselves Playing Tennis,1,the Onion
915,Tearful Norwegian Teen Bids Goodbye To Parents Before Leaving For National Service In Black-Metal Band,1,the Onion
916,Kangaroo Kills Australian Man In Rare Fatal Attack,1,the Onion
917,Serena Williams Takes Home Chair Umpire From Final Match As Career Memento,1,the Onion
918,New Prevention Campaign Urges Public To Look Out For Early Signs Of Being Cut In Half By Samurai,1,the Onion
919,Embattled UK Leader Liz Truss Loses 2nd Minister In Week,0,huffpost.com
920,Chris Christie Says Trump Took Files As 'Trophies' To Soothe His Wounded Ego,0,huffpost.com
921,Georgians Explain Why They Are Voting For Herschel Walker,1,the Onion
922,"Climate Protesters Throw Soup At Van Gogh's 'Sunflowers', Glue Themselves To Wall",0,huffpost.com
923,Fat Bear Week Crowns Winner After Vote Fraud Rocks Alaskan Contest,0,huffpost.com
924,Pennsylvanians Explain Why They Are Voting For Dr. Oz,1,the Onion
925,Paul Ryan Makes Bold Prediction About Trump And MAGA Lovers Won't Like It,0,huffpost.com
926,HelloFresh Announces Collaboration To Discreetly Deliver McDonald’s In Its Packaging,1,the Onion
927,Biden Pardons Thousands Convicted Of Marijuana Possession,1,the Onion
928,Should Animals Have More Eyes?,1,the Onion
929,"Russia Military Range Shooting Leaves 11 Dead, 15 Wounded",0,huffpost.com
930,Japan’s Tax Agency Encouraging Young Population To Drink More Alcohol,1,the Onion
931,Man In Flat-Brimmed Cap Explains Company’s Mission Statement,1,the Onion
932,"$400,000 Of Meth Hidden In Pumpkins Found At Texas Border",1,the Onion
933,Herschel Walker Campaign Email Cites Urgent Need For Donations To Fund Abortions,1,the Onion
934,Hawaii Refuses To Cooperate With States Prosecuting for Abortions,0,huffpost.com
935,Herschel Walker's Son Unleashes On Him After Abortion Report: 'I'm Done',0,huffpost.com
936,New AI Could Diagnose Illnesses By Analyzing Patient’s Voice,1,the Onion
937,New York Hospitals To Pay $165 Million To Women Abused By Gynecologist,0,huffpost.com
938,Daily Affirmation: I Don't Need Help,1,the Onion
939,Biden Vows 'Consequences' For Saudis After OPEC+ Moves To Cut Oil Production,0,huffpost.com
940,"Trump's Weekend Rant Made Him Sound 'Guilty And Scared,' Ex-Prosecutor Says",0,huffpost.com
941,Elon Musk Says SpaceX Cannot Fund Starlink In Ukraine 'Indefinitely',0,huffpost.com
942,Worker Admits Dumping Raw Waste Into Jackson Water System,0,huffpost.com
943,Norman Lear Slams Donald Trump's 'Appalling Words' About Jews,0,huffpost.com
944,Mehmet Oz Gives Speech Near Hitler's Car And Causes Furor On Twitter,0,huffpost.com
945,Study Finds Majority Of Americans Get Their News From Walking By Stack Of Televisions In Store Window Display,1,the Onion
946,Kamala Harris Quietly Steps Into Frame Behind Biden During Student Debt Cancellation Announcement,1,the Onion
947,Moon Dead At 29,1,the Onion
948,California Attorney General Investigating LA Redistricting Amid Leaked Audio Scandal,0,huffpost.com
949,Court Orders John Eastman To Give Jan. 6 Committee More Emails,0,huffpost.com
950,Top Democrat Leaves Door Open For Raising Debt Limit In Lame Duck Session,0,huffpost.com
951,Tucker Carlson's 'Complete Meltdown' Night Captured In Bonkers Supercut,0,huffpost.com
952,Aaron Judge: ‘I Wish I’d Just Used Steroids And Hit 80 Home Runs’,1,the Onion
953,Time To Decide Once And For All: Morning Worms vs. Evening Worms,1,the Onion
954,"Math, Reading Test Scores Plummet During Pandemic",1,the Onion
955,Dolphins Under Scrutiny After Tua Tagovailoa Seen Exiting Hospital With Head Hastily Taped Back On,1,the Onion
956,Ghislaine Maxwell Says She Feels Bad For 'Dear Friend' Prince Andrew,0,huffpost.com
957,Aaron Rodgers Downplays Rough Start As Normal Ups And Downs Of Massive Global Conspiracy,1,the Onion
958,"Griner, Whelan Could Be Released From Russia This Year: Ex-Ambassador",0,huffpost.com
959,"Retired Admiral Brands Putin 'A Cornered Animal,' Calls For Russia-Ukraine Talks",0,huffpost.com
960,Guy On Doomed Planet Mostly Concerned With Skin Color Of People In Movies,1,the Onion
961,New Google Privacy Settings Allows Users To Choose If Sundar Pichai Can Sleep Under Bed,1,the Onion
962,"Week In Review: September 18, 2022",1,the Onion
963,Infamous Instances Of People Who Hated Their Onscreen Portrayals,1,the Onion
964,Woman Pepper Spraying Assailant Makes Sure To Save Enough For Rest Of Walk Home,1,the Onion
965,2 Russians Seek Asylum After Reaching Remote Alaskan Island,0,huffpost.com
966,"U.S. Hiring Stayed Solid In September As Employers Add 263,000 Jobs",0,huffpost.com
967,What To Know About New U.K. Prime Minister Liz Truss,1,the Onion
968,Stanford Apologizes For Limiting Number Of Jewish Students In The 1950s,0,huffpost.com
969,New York Attorney General Sues Trump Family For Business Fraud,1,the Onion
970,Twitter Whistleblower Testifies Over Company’s Major Security Failures,1,the Onion
971,Brett Favre Insists He’s Been ‘Unjustly Smeared’ In Welfare Case,0,huffpost.com
972,Archaeologists Discover Ancient Roman ‘Fridge’ With Meat Still Inside,1,the Onion
973,Half-Hearted Nod At Uber Driver Interpreted As Invitation To Discuss Eugenics,1,the Onion
974,Trump Outmaneuvers New York Lawsuit By Changing Name To Donald 2,1,the Onion
975,White House Says Most People Will Need A COVID Booster Vaccine Every Year,0,huffpost.com
976,Kim Kardashian Pays SEC Fine In Instagram Post Promoting SEC,1,the Onion
977,How Moscow Grabs Ukrainian Kids And Makes Them Russians,0,huffpost.com
978,GOP Senate Nominee: Abortion Decisions 'Belong' to GOP ‘Gentlemen’ State Reps,0,huffpost.com
979,Shoplifter Always Gets Little Adrenaline Rush After Stealing Basic Necessities For Family,1,the Onion
980,Drought Reveals 113 Million-Year-Old Dinosaur Tracks In Texas,1,the Onion
981,Herschel Walker's Ex-Girlfriend Says He Urged Her To Get Second Abortion,0,huffpost.com
982,Las Vegas Raiders Hardscape Field Amid Drought,1,the Onion
983,Trump Stumped Over Why Jan. 6 Panel Didn't Just Ask Him To Testify Earlier. Nobody Else Is.,0,huffpost.com
984,North Korea Launches More Missiles As U.S. Redeploys Carrier,0,huffpost.com
985,"Herschel Walker Addresses Mental Illness In New Ad, And Twitter Users Have Thoughts",0,huffpost.com
986,DHS To Let Thousands Of Qualifying Venezuelan Migrants Enter U.S.,0,huffpost.com
987,MTA Announces Train Delayed Due To The Beautiful Randomness Of Life,1,the Onion
988,Report: Queen Elizabeth Shot Herself In Bunker As Enemy Forces Closed In,1,the Onion
989,Joe Biden Discusses Possible Charges Against Hunter Biden For First Time,0,huffpost.com
990,Documents The National Archives Claims Trump Has Still Not Returned,1,the Onion
991,Ultra-Realistic ‘NBA 2K23’ Update Adds Unexplainable Horseshit Calls,1,the Onion
992,FDA Recalls Thing You Just Ate,1,the Onion
993,Inmate Regrets Wearing Shorts To Execution After Feeling Thighs Stick To Electric Chair,1,the Onion
994,Scientists Plan To Resurrect Extinct Tasmanian Tiger,1,the Onion
995,Most Controversial Texts Sent To Elon Musk About Twitter,1,the Onion
996,"As Hurricane Ian Battered Florida, Older Adults Were Especially Vulnerable",0,huffpost.com
997,"Stockton, Calif., Police Arrest Suspect In Serial Killings",0,huffpost.com
998,Sen. Rick Scott Won't Condemn Trump's Racist Attack on Mitch McConnell's Wife,0,huffpost.com
999,"Herschel Walker Brushes Up On Theoretical Physics, Linguistics To Formulate Ideal Conditions For Warnock Debate",1,the Onion
1000,"Thailand Mourns After Mass Shooting Leaves Dozens Dead, Including 24 Children",0,huffpost.com
1001,Daily Affirmation: I Am Light,1,the Onion
1002,Man Who Said Abortion Is Genocide Pleads Guilty To Arson At Planned Parenthood Clinic,0,huffpost.com
1003,Medic Performing CPR On Dead Guy Puts On Whole Show For Family Watching,1,the Onion
1004,Airbnb Owners Explain Why They Oppose Regulations,1,the Onion
1005,Education Department Launches Beta Website For Student Loan Forgiveness Applications,0,huffpost.com
1006,Man Looking To Become Misogynist Loser Hopes To Find Guidance Online,1,the Onion
1007,Glenn Youngkin Defends Endorsing Election Denier Kari Lake For Arizona Governor,0,huffpost.com
1008,"National Archives Sought Trump's Letters With Kim Jong Un, Obama In May 2021",0,huffpost.com
1009,Kamala Harris Briefly Ponders Stepping Across DMZ To Whatever Fate Awaits Her,1,the Onion
1010,"Week In Review: September 12, 2022",1,the Onion
1011,Roger Stone Blasts 'Abortionist B***h' Ivanka Trump After Failure To Win Jan. 6 Pardon,0,huffpost.com
1012,Jan. 6 Committee Votes To Subpoena Donald Trump,0,huffpost.com
1013,Twitter Lights Up With Jokes Over Biden's Big Cannabis News,0,huffpost.com
1014,High Schoolers Given Detention For Cutting Class During Active Shooting,1,the Onion
1015,No Going Back Now: We Wasted Our One Precious Life On This Earth Testing 9 Bluetooth Speakers For You,1,the Onion
1016,"Investigators Seize 27 Antiquities From Met Museum, Citing Looting",1,the Onion
1017,Study: Psilocybin Mushrooms May Help Heavy Drinkers Quit,1,the Onion
1018,FDA Requires Cigarette Packs Have Image Of Cigarette Pack Which Itself Has Smaller Image Of Cigarette Pack To Make Smokers Question Where This All Ends,1,the Onion
1019,Supreme Court Agrees To Hear Cases That Could Reel In Social Media Companies’ Immunity,0,huffpost.com
1020,More Cities Now Providing Special Disposal Bin For Cursed Artifacts,1,the Onion
1021,FDA Declares Adderall Shortage Following Supply Delays,0,huffpost.com
1022,Poll Finds Most Americans Are Quiet Quitting,1,the Onion
1023,Brazil Presidential Election Headed To Runoff After Surprisingly Strong Vote For Far-Right Bolsonaro,0,huffpost.com
1024,DOJ Asks SCOTUS To Deny Trump Plea Over FBI Search,0,huffpost.com
1025,Remember This Guy? Nancy Pelosi Has A Special Message Just For Him.,0,huffpost.com
1026,"Trump Made Secret Service Pay 'Exorbitant Rates' At His Hotels, Documents Show",0,huffpost.com
1027,Heist Crew Accidentally All Getaway Drivers,1,the Onion
1028,Missouri School To Close After Radioactive Waste Report,0,huffpost.com
1029,Stress During Pregnancy May Have Negative Emotional Impact On Babies,1,the Onion
1030,Watch A Honey Badger Fight 3 Leopards In 'Unbelievable Battle' For Survival,0,huffpost.com
1031,Biden Secures Liberal Priorities With Little Republican Backlash,0,huffpost.com
1032,"Pilot Sues Southwest After Colleague Exposed Himself, Watched Porn In Cockpit",0,huffpost.com
1033,"Annoying Boyfriend Always Leaves Toilet Seat Ripped Off, Flung Across Bathroom",1,the Onion
1034,Chess Grandmaster Accused Of Cheating Has Butt Scanned Before Game,0,huffpost.com
